"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          69,      -6.317130798,      -6.088229956,      -6.081791543,      -5.695732527,      -10.31408927,     -0.6807856214,       1.921870487,       5.964089844,                 0,                 0,                 0,       1.405973618,      0.6888052978,       6.228121795,                 0,       3.103273547,    0.008509893406
          0,           0,          70,      -6.282170931,      -6.151395396,      -6.157160104,      -5.663330662,      -10.34008487,     -0.6662054599,      0.7581520703,       5.605945211,                 0,                 0,                 0,       1.204289375,     -0.3796394342,       5.644226269,                 0,       7.394222651,    0.008509893406
          0,           0,          71,      -6.268849489,      -6.217541526,      -6.239897247,      -5.649883915,      -10.36197836,     -0.5601340839,      -0.418117865,       4.862767479,                 0,                 0,                 0,      0.9104840453,      -1.383289037,       4.680581326,                 0,      -11.63013563,    0.008509893406
          0,           0,          72,      -6.253612941,      -6.247772358,      -6.282831766,      -5.632877086,      -10.38454139,     -0.6054760313,      -1.394156397,       3.833637965,                 0,                 0,                 0,      0.5701345252,      -2.133507728,       3.476865957,                 0,      -2.749790463,    0.008509893406
          0,           0,          73,      -6.254470524,      -6.236791776,      -6.265284338,       -5.63129562,      -10.40549726,     -0.5474105862,      -2.168410893,       2.457489644,                 0,                 0,                 0,      0.1699922239,       -2.61654729,       1.973560597,                 0,      -1.133313641,    0.008509893406
          0,           0,          74,      -6.257730191,      -6.189797447,      -6.199993433,      -5.632454772,      -10.42789614,     -0.5675736881,      -2.580663868,       1.134024752,                 0,                 0,                 0,     -0.1797942918,      -2.755464171,      0.5943528758,                 0,      -0.439431406,    0.008509893406
          0,           0,          75,      -6.293321378,      -6.163040721,      -6.158783449,      -5.664017578,      -10.44749282,     -0.5874796863,      -2.716850419,     -0.3286237478,                 0,                 0,                 0,     -0.5324457216,      -2.596037116,     -0.8659451844,                 0,      0.1209576153,    0.008509893406
          0,           0,          76,      -6.322588047,      -6.138648219,      -6.123649729,      -5.690489917,      -10.46937284,     -0.7305458261,      -2.596306998,      -1.532346442,                 0,                 0,                 0,     -0.7979706257,      -2.236921683,      -2.021157349,                 0,      0.5902023307,    0.008509893406
          0,           0,          77,       -6.36720436,      -6.147395562,      -6.126063328,      -5.731791862,      -10.48931622,     -0.7754445882,      -2.228005108,      -2.652653703,                 0,                 0,                 0,      -1.018332979,      -1.651766492,       -3.04503627,                 0,        1.19059588,    0.008509893406
          0,           0,          78,      -6.390791412,      -6.164839052,       -6.13955624,       -5.75496972,      -10.51174881,     -0.8677219698,      -1.755029947,      -3.408724857,                 0,                 0,                 0,      -1.144037541,      -1.036986075,       -3.69109674,                 0,       1.942260223,    0.008509893406
